Image_Name,The Number of Puzzles,F1-Score,mAP@0.85
picture,4,1.0,0.5
picture,9,0.5,0.11
picture,16,0.0,0.0
chessboard,4,0.0,0.0
chessboard,9,0.0,0.0
chessboard,16,0.14,0.0
bulb,16,0.25,0.0
bulb,4,1.0,0.5
bulb,9,0.5,0.33
cat,16,0.33,0.12
cat,4,1.0,0.5
cat,9,0.25,0.0
building,4,1.0,0.75
building,9,0.5,0.22
building,16,0.4,0.06
handmodel,16,0.0,0.0
handmodel,9,0.0,0.0
handmodel,4,0.0,0.0
glasses,16,0.4,0.06
glasses,4,0.67,0.5
glasses,9,0.4,0.22
harvest,4,1.0,0.25
harvest,9,0.67,0.0
harvest,16,0.0,0.0
box,16,0.0,0.0
box,9,0.33,0.0
box,4,0.0,0.0
ocean,9,0.67,0.22
ocean,16,0.2,0.0
ocean,4,1.0,0.75
